arm,mechanism,severity,outcome,replicate,n_kept,treated_share_kept,naive,outcome_regression,ipw,aipw
robustness,selective_attrition,0.5,visit,4,595303,0.7480274750841168,0.054460503073188365,0.03584424293762487,0.035550028586416316,0.036223780286722206
robustness,selective_attrition,0.5,visit,5,595352,0.7480482134938659,0.05445030807091919,0.035618613711907395,0.03524118149250214,0.0360294340971655
robustness,selective_attrition,0.5,visit,6,595581,0.7481450885773724,0.054402691766480174,0.03570621019899177,0.03551455261418426,0.036087697287743144
robustness,selective_attrition,0.5,visit,7,595216,0.7479906454127577,0.05447860993315605,0.03578368093578821,0.03545828485865625,0.036224537693684306
robustness,selective_attrition,0.5,visit,8,595965,0.7483073670433666,0.054322955837341494,0.03579893587816873,0.03573695728918373,0.03621530963889683
robustness,selective_attrition,0.5,visit,9,596314,0.7484546732090811,0.054250606523658235,0.03569384881911144,0.03561524077897662,0.03613815979941248
robustness,selective_attrition,0.5,visit,10,595363,0.7480528685860559,0.05444801970527413,0.03592238986284486,0.03570559847807647,0.03638456552148153
robustness,selective_attrition,0.5,visit,11,595373,0.7480571003387793,0.0544459394709603,0.0357571755398166,0.03547001356409218,0.03619681329169783
robustness,selective_attrition,0.5,visit,12,595212,0.7479889518356485,0.05447944260262527,0.03578357540137076,0.03554789644298344,0.03624203011345806
robustness,selective_attrition,0.5,visit,13,596539,0.7485495499875113,0.054204022940885346,0.03548436303890768,0.03509891798512279,0.035789258796821856
robustness,selective_attrition,0.5,visit,14,596345,0.7484677493732654,0.05424418555153525,0.03571824788416311,0.03563455795031301,0.0362014748191577
robustness,selective_attrition,0.5,visit,15,596003,0.7483234144794573,0.054315072768568826,0.035573262104104254,0.035243222699343504,0.035914736969129925
robustness,selective_attrition,0.5,visit,16,595994,0.7483196139558452,0.05431693968977161,0.03574809638516388,0.03559506255586697,0.03627213197112302
robustness,selective_attrition,0.5,visit,17,595850,0.7482587899639171,0.05434682067960077,0.03570496794351045,0.03552037937991987,0.03621496669065336
robustness,selective_attrition,0.5,visit,18,594967,0.7478851768249332,0.054530472147372736,0.035701659726240946,0.035573002552679714,0.03612363809182852
robustness,selective_attrition,0.5,visit,19,595887,0.7482744211570315,0.0543391410828304,0.03561151841258269,0.03538667918405207,0.03608868117835968
hidden_confounder,confounded_assignment,1.0,visit,0,486055,0.8373743712131343,0.07079237830858223,0.03755053049550288,0.03670353875417773,0.03418509869000934
